idpersona;cod_materia;aprueba;nombrecolegio;idpais;anio;idtipoalumno;fecha_examen
118201;10085-20;S;COLEGIO SAGRADA FAMILIA (EX JUAN XXIII);54;2023;2;12/07/2023
118201;16138;S;COLEGIO SAGRADA FAMILIA (EX JUAN XXIII);54;2023;2;12/07/2023
118201;16139;S;COLEGIO SAGRADA FAMILIA (EX JUAN XXIII);54;2023;2;12/07/2023
118201;16141;S;COLEGIO SAGRADA FAMILIA (EX JUAN XXIII);54;2023;2;15/12/2023
118205;16225;S;PTE. HIPÓLITO YRIGOYEN;54;2023;2;05/12/2023
118205;16258;S;PTE. HIPÓLITO YRIGOYEN;54;2023;2;08/08/2023
118206;121;S;JULIO CORTAZAR;54;2023;2;01/12/2023
118202;10085-20;S;COLEGIO PROV.DE EDUCACION POLIMODAL N° 3 JOSE MANUEL ESTRAD;54;2023;2;12/07/2023
118202;16138;S;COLEGIO PROV.DE EDUCACION POLIMODAL N° 3 JOSE MANUEL ESTRAD;54;2023;2;12/07/2023
118202;16139;S;COLEGIO PROV.DE EDUCACION POLIMODAL N° 3 JOSE MANUEL ESTRAD;54;2023;2;12/07/2023
118204;;S;INSTITUTO MARÍA AUXILIADORA;54;2023;2;01/12/2023
118206;131;S;JULIO CORTAZAR;54;2023;2;06/12/2023
118206;151;S;JULIO CORTAZAR;54;2023;2;15/12/2023
118206;161;S;JULIO CORTAZAR;54;2023;2;06/12/2023
118204;;S;INSTITUTO MARÍA AUXILIADORA;54;2023;2;06/12/2023
118202;16141;S;COLEGIO PROV.DE EDUCACION POLIMODAL N° 3 JOSE MANUEL ESTRAD;54;2023;2;15/12/2023
118214;10085-20;S;GRAL. ENRIQUE MOSCONI;54;2023;2;12/07/2023
118202;16142;S;COLEGIO PROV.DE EDUCACION POLIMODAL N° 3 JOSE MANUEL ESTRAD;54;2023;2;18/12/2023
118209;;S;JULIO CORTAZAR;54;2023;2;01/12/2023
118213;10085-20;S;SANTO DOMINGO SAVIO;54;2023;2;12/07/2023
118213;16137;S;SANTO DOMINGO SAVIO;54;2023;2;04/08/2023
118213;16138;S;SANTO DOMINGO SAVIO;54;2023;2;09/08/2023
118213;16139;S;SANTO DOMINGO SAVIO;54;2023;2;12/07/2023
118207;10085-20;S;PRÓSPERO PALAZZO;54;2023;2;12/07/2023
118207;16139;S;PRÓSPERO PALAZZO;54;2023;2;03/08/2023
118214;16137;S;GRAL. ENRIQUE MOSCONI;54;2023;2;04/08/2023
118214;16138;S;GRAL. ENRIQUE MOSCONI;54;2023;2;12/07/2023
118214;16139;S;GRAL. ENRIQUE MOSCONI;54;2023;2;12/07/2023
118214;16141;S;GRAL. ENRIQUE MOSCONI;54;2023;2;15/12/2023
118214;16142;S;GRAL. ENRIQUE MOSCONI;54;2023;2;18/12/2023
118213;E0508-23;S;SANTO DOMINGO SAVIO;54;2023;2;23/11/2023
118222;121;S;COLEGIO PROVINCIAL NRO. 781;54;2023;2;01/12/2023
118215;11008;S;GRAL. ENRIQUE MOSCONI;54;2023;2;29/11/2023
118224;;S;DON ELADIO ZAMARREÑO;54;2023;2;01/12/2023
118224;;S;DON ELADIO ZAMARREÑO;54;2023;2;06/12/2023
118223;11008;S;COLEGIO PROV. DE EDUCACION SECUNDARIA N° 44;54;2023;2;23/11/2023
118234;16289-24;S;CÓNDOR ANDINO;54;2023;2;15/12/2023
118234;16291-24;S;CÓNDOR ANDINO;54;2023;2;29/06/2023
118234;16293-24;S;CÓNDOR ANDINO;54;2023;2;28/11/2023
118234;16294-24;S;CÓNDOR ANDINO;54;2023;2;05/12/2023
118246;121;S;INSTITUTO MARÍA AUXILIADORA;54;2023;2;01/12/2023
118236;;S;INSTITUTO CAMWY;54;2023;2;01/12/2023
118238;16139;S;COLEGIO PROV. DE EDUCACION SECUNDARIA N° 44;54;2023;2;12/07/2023
85474;16225;S;PADRE URBANO SALORT;54;2023;2;05/12/2023
118235;;S;PARQUE EÓLICO ANTONIO MORÁN;54;2023;2;18/10/2023
118235;;S;PARQUE EÓLICO ANTONIO MORÁN;54;2023;2;04/12/2023
118235;;S;PARQUE EÓLICO ANTONIO MORÁN;54;2023;2;12/12/2023
85474;16257;S;PADRE URBANO SALORT;54;2023;2;31/07/2023
