"idpersona","cod_materia","aprueba","nombrecolegio","idpais","anio","idtipoalumno","fecha_examen"
65590,"A01","S","ALFONSINA STORNI",54,2022,5,01/04/2022
112961,"131","S","COLEGIO N° 735",54,2022,2,14/12/2022
112936,"131","S","COLEGIO N° 735",54,2022,2,14/12/2022
112900,"X","S","COLEGIO FRANCISCO PASCASIO MORENO",54,2022,2,14/12/2022
112900,"X","S","COLEGIO FRANCISCO PASCASIO MORENO",54,2022,2,16/12/2022
112949,"X","S","PADRE URBANO SALORT",54,2022,2,24/08/2022
112949,"X","S","PADRE URBANO SALORT",54,2022,2,14/12/2022
112949,"X","S","PADRE URBANO SALORT",54,2022,2,16/12/2022
112962,"131","S","COLEGIO N° 746",54,2022,2,06/12/2022
112962,"141","S","COLEGIO N° 746",54,2022,2,31/08/2022
112962,"151","S","COLEGIO N° 746",54,2022,2,01/12/2022
112962,"161","S","COLEGIO N° 746",54,2022,2,30/11/2022
112941,"X","S","COLEGIO PROV.DE EDUCACION POLIMODAL N° 12 DR. M.CASTULO PAR",54,2022,2,14/12/2022
112916,"X","S","COLEGIO SECUNDARIO SAN JOSE OBRERO",54,2022,2,30/11/2022
112916,"X","S","COLEGIO SECUNDARIO SAN JOSE OBRERO",54,2022,2,06/12/2022
112916,"X","S","COLEGIO SECUNDARIO SAN JOSE OBRERO",54,2022,2,14/12/2022
112964,"131","S","COLEGIO N° 798",54,2022,2,06/12/2022
112917,"X","S","RAQUEL CHATTAH DE BEC",54,2022,2,30/06/2022
112917,"X","S","RAQUEL CHATTAH DE BEC",54,2022,2,24/11/2022
112917,"X","S","RAQUEL CHATTAH DE BEC",54,2022,2,28/11/2022
112917,"X","S","RAQUEL CHATTAH DE BEC",54,2022,2,30/11/2022
112895,"X","S","COLEGIO NRO. 776",54,2022,2,24/11/2022
112942,"131","S","ESCUELA NRO. 718 (ORIENTACIÓN TÉCNICO EN TURISMO)",54,2022,2,06/12/2022
112942,"141","S","ESCUELA NRO. 718 (ORIENTACIÓN TÉCNICO EN TURISMO)",54,2022,2,17/08/2022
112942,"161","S","ESCUELA NRO. 718 (ORIENTACIÓN TÉCNICO EN TURISMO)",54,2022,2,30/11/2022
109682,"161","S","COLEGIO SECUNDARIO NRO. 743 (C.R)",54,2022,2,30/11/2022
85976,"131","S","ESCUELA DE FORMACIÓN LABORAL SAN JOSE OBRERO",54,2022,2,06/12/2022
85976,"141","S","ESCUELA DE FORMACIÓN LABORAL SAN JOSE OBRERO",54,2022,2,14/12/2022
85976,"151","S","ESCUELA DE FORMACIÓN LABORAL SAN JOSE OBRERO",54,2022,2,01/12/2022
112967,"121","S","ESCUELA MUTUALISTA A.M.S.E",54,2022,2,23/06/2022
112967,"131","S","ESCUELA MUTUALISTA A.M.S.E",54,2022,2,18/10/2022
112967,"141","S","ESCUELA MUTUALISTA A.M.S.E",54,2022,2,30/11/2022
112967,"161","S","ESCUELA MUTUALISTA A.M.S.E",54,2022,2,01/07/2022
112918,"121","S","COLEGIO NRO. 776",54,2022,2,24/11/2022
112928,"121","S","JULIO CORTAZAR",54,2022,2,24/11/2022
112928,"131","S","JULIO CORTAZAR",54,2022,2,16/12/2022
112928,"161","S","JULIO CORTAZAR",54,2022,2,30/11/2022
112905,"131","S","ESCUELA PROVINCIAL N° 768",54,2022,2,23/08/2022
